Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,11,0,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,64.97748
Label Propagation,False,11,1,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,64.90254
Label Propagation,False,11,2,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.04538
Label Propagation,False,11,3,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.03467
Label Propagation,False,11,4,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.08108
Label Propagation,False,11,5,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,64.95677
Label Propagation,False,11,6,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.06188
Label Propagation,False,11,7,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.13792
Label Propagation,False,11,8,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,65.09112
Label Propagation,False,11,9,0.2937,0.34707,0.2937,0.2937,0.2937,1.42353,0.04757,0.2101,0.38578,0.10115,0.1713,0.13656,64.97072
Label Propagation,False,13,0,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.39374
Label Propagation,False,13,1,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.07346
Label Propagation,False,13,2,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.16207
Label Propagation,False,13,3,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.18273
Label Propagation,False,13,4,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.21295
Label Propagation,False,13,5,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.09778
Label Propagation,False,13,6,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.20666
Label Propagation,False,13,7,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.10676
Label Propagation,False,13,8,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.22134
Label Propagation,False,13,9,0.2706,0.35175,0.2706,0.2706,0.2706,1.62344,0.04206,0.26584,0.43641,0.07475,0.12659,0.11669,74.15508
Label Propagation,False,15,0,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.71195
Label Propagation,False,15,1,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.3957
Label Propagation,False,15,2,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.51498
Label Propagation,False,15,3,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.54209
Label Propagation,False,15,4,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.66282
Label Propagation,False,15,5,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.47452
Label Propagation,False,15,6,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.62129
Label Propagation,False,15,7,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.42784
Label Propagation,False,15,8,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.64578
Label Propagation,False,15,9,0.26124,0.36017,0.26124,0.26124,0.26124,1.57076,0.05164,0.27563,0.43674,0.08633,0.1462,0.13148,73.37587
Label Propagation,False,17,0,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.10819
Label Propagation,False,17,1,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.07045
Label Propagation,False,17,2,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.06209
Label Propagation,False,17,3,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.15659
Label Propagation,False,17,4,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.05773
Label Propagation,False,17,5,0.25375,0.32147,0.25375,0.25375,0.25375,1.94738,0.02084,0.19796,0.43072,0.04064,0.06883,0.06744,86.11312
