Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,7,0,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,1.0584940910339355
Label Propagation,False,7,1,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,0.8663311004638672
Label Propagation,False,7,2,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,1.0387561321258545
Label Propagation,False,7,3,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,1.0789482593536377
Label Propagation,False,7,4,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,0.9439895153045654
Label Propagation,False,7,5,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,1.1085131168365479
Label Propagation,False,7,6,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,0.9691009521484376
Label Propagation,False,7,7,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,0.986140251159668
Label Propagation,False,7,8,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,0.9262645244598388
Label Propagation,False,7,9,0.121,0.3,0.121,0.121,0.121,1.071,-0.007,0.068,0.218,0.052,0.099,0.059,1.0709381103515625
Label Propagation,False,9,0,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.8969728946685791
Label Propagation,False,9,1,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.9546916484832764
Label Propagation,False,9,2,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.9863312244415284
Label Propagation,False,9,3,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.854029655456543
Label Propagation,False,9,4,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.7769086360931396
Label Propagation,False,9,5,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.8730206489562988
Label Propagation,False,9,6,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,0.8948788642883301
Label Propagation,False,9,7,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,1.0453131198883057
Label Propagation,False,9,8,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,1.124854564666748
Label Propagation,False,9,9,0.22,0.307,0.22,0.22,0.22,0.672,-0.003,0.106,0.316,0.047,0.09,0.065,1.0404059886932373
Asynchronous Label Propagation,False,7,0,0.153,0.304,0.153,0.153,0.153,0.732,0.002,0.059,0.195,0.052,0.099,0.055,0.9592692852020264
Asynchronous Label Propagation,False,7,1,0.153,0.304,0.153,0.153,0.153,0.732,0.002,0.059,0.195,0.052,0.099,0.055,1.036468267440796
