Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,7,0,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.35663
Label Propagation,False,7,1,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.61902
Label Propagation,False,7,2,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.35528
Label Propagation,False,7,3,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.36701
Label Propagation,False,7,4,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.38183
Label Propagation,False,7,5,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.375
Label Propagation,False,7,6,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.33667
Label Propagation,False,7,7,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.34421
Label Propagation,False,7,8,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.36347
Label Propagation,False,7,9,0.21037,0.32203,0.21037,0.21037,0.21037,1.65909,0.03925,0.34738,0.27929,0.1816,0.39653,0.23851,6.37684
Label Propagation,False,9,0,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98678
Label Propagation,False,9,1,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.95247
Label Propagation,False,9,2,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.94929
Label Propagation,False,9,3,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,7.14066
Label Propagation,False,9,4,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98956
Label Propagation,False,9,5,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98911
Label Propagation,False,9,6,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98282
Label Propagation,False,9,7,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98541
Label Propagation,False,9,8,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.96225
Label Propagation,False,9,9,0.12662,0.33898,0.12662,0.12662,0.12662,2.11754,0.06057,0.46427,0.34404,0.15252,0.33303,0.2296,6.98247
Greedy Modularity,False,3,0,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.19796
Greedy Modularity,False,3,1,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.1894
Greedy Modularity,False,3,2,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.20943
Greedy Modularity,False,3,3,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.20832
Greedy Modularity,False,3,4,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.19667
Greedy Modularity,False,3,5,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.21002
Greedy Modularity,False,3,6,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.269
Greedy Modularity,False,3,7,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.19236
Greedy Modularity,False,3,8,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.24108
Greedy Modularity,False,3,9,0.22034,0.42173,0.22034,0.22034,0.22034,1.36385,0.18349,0.53313,0.3872,0.28503,0.62237,0.37146,7.32762
