Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,9,0,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.153847694396973
Label Propagation,False,9,1,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.093046426773071
Label Propagation,False,9,2,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.092857122421265
Label Propagation,False,9,3,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.082249164581299
Label Propagation,False,9,4,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,8.664056301116942
Label Propagation,False,9,5,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.065495491027832
Label Propagation,False,9,6,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.037338495254517
Label Propagation,False,9,7,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.043720006942749
Label Propagation,False,9,8,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.062628507614137
Label Propagation,False,9,9,0.231,0.313,0.231,0.231,0.231,1.524,0.062,0.422,0.303,0.18,0.404,0.252,5.971992015838622
Label Propagation,False,11,0,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,5.816955089569093
Label Propagation,False,11,1,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,8.133258819580076
Label Propagation,False,11,2,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,6.512530088424683
Label Propagation,False,11,3,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,5.340691566467285
Label Propagation,False,11,4,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,5.316509246826172
Label Propagation,False,11,5,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,5.304070234298706
Label Propagation,False,11,6,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,7.416863203048706
Label Propagation,False,11,7,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,6.899085998535156
Label Propagation,False,11,8,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,6.139816999435425
Label Propagation,False,11,9,0.221,0.309,0.221,0.221,0.221,1.759,0.041,0.381,0.262,0.203,0.455,0.265,5.317909002304077
Label Propagation,False,13,0,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.331390380859375
Label Propagation,False,13,1,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.295981168746948
Label Propagation,False,13,2,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.8171117305755615
Label Propagation,False,13,3,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,7.300627470016479
Label Propagation,False,13,4,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,6.4588623046875
Label Propagation,False,13,5,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.28708553314209
Label Propagation,False,13,6,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.314837694168091
Label Propagation,False,13,7,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,6.1889967918396
Label Propagation,False,13,8,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,6.849118709564209
Label Propagation,False,13,9,0.179,0.282,0.179,0.179,0.179,1.878,0.013,0.476,0.29,0.153,0.344,0.232,5.537636756896973
Label Propagation,False,15,0,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.642709970474242
Label Propagation,False,15,1,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.330869197845459
Label Propagation,False,15,2,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.4781646728515625
Label Propagation,False,15,3,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.844180107116699
Label Propagation,False,15,4,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.3021814823150635
Label Propagation,False,15,5,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.320199966430664
Label Propagation,False,15,6,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.470142126083374
Label Propagation,False,15,7,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.612334489822388
Label Propagation,False,15,8,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.320567846298218
Label Propagation,False,15,9,0.139,0.277,0.139,0.139,0.139,1.719,0.032,0.538,0.327,0.132,0.297,0.212,5.306546926498413
Label Propagation,False,17,0,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,6.1033780574798575
Label Propagation,False,17,1,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,5.530082702636719
Label Propagation,False,17,2,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,5.536413192749023
Label Propagation,False,17,3,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,6.003411769866943
Label Propagation,False,17,4,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,7.95130467414856
Label Propagation,False,17,5,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,5.481223821640015
Label Propagation,False,17,6,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,5.740771055221558
Label Propagation,False,17,7,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,5.5821478366851816
Label Propagation,False,17,8,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,6.622601270675659
Label Propagation,False,17,9,0.148,0.235,0.148,0.148,0.148,1.967,0.007,0.437,0.31,0.085,0.192,0.143,6.398530244827271
Greedy Modularity,False,3,0,0.103,0.241,0.103,0.103,0.103,1.765,0.014,0.344,0.303,0.09,0.202,0.143,5.33292818069458
Greedy Modularity,False,3,1,0.103,0.241,0.103,0.103,0.103,1.765,0.014,0.344,0.303,0.09,0.202,0.143,5.439915895462036
