Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,11,0,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,11.02222
Label Propagation,False,11,1,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,10.22589
Label Propagation,False,11,2,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,11.22406
Label Propagation,False,11,3,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,12.11253
Label Propagation,False,11,4,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,10.72029
Label Propagation,False,11,5,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,9.90754
Label Propagation,False,11,6,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,9.00636
Label Propagation,False,11,7,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,10.5559
Label Propagation,False,11,8,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,9.93134
Label Propagation,False,11,9,0.27508,0.3808,0.27508,0.27508,0.27508,0.68176,-0.00213,0.01029,0.2844,0.00857,0.01322,0.00935,12.04531
Label Propagation,False,13,0,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,11.34324
Label Propagation,False,13,1,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,9.84363
Label Propagation,False,13,2,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,10.64734
Label Propagation,False,13,3,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,9.64571
Label Propagation,False,13,4,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,12.14556
Label Propagation,False,13,5,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,10.59731
Label Propagation,False,13,6,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,12.10626
Label Propagation,False,13,7,0.26753,0.37972,0.26753,0.26753,0.26753,0.77602,-0.00668,0.02565,0.28165,0.02159,0.03333,0.02345,10.88404
