Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,7,0,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,8.306835174560549
Label Propagation,False,7,1,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,8.232567310333254
Label Propagation,False,7,2,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.133415937423706
Label Propagation,False,7,3,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.665311813354492
Label Propagation,False,7,4,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.867475748062134
Label Propagation,False,7,5,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.219910383224487
Label Propagation,False,7,6,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.173847913742065
Label Propagation,False,7,7,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,7.329476833343506
Label Propagation,False,7,8,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,8.273629426956179
Label Propagation,False,7,9,0.139,0.268,0.139,0.139,0.139,0.987,0.013,0.037,0.156,0.035,0.073,0.036,6.030022144317628
Label Propagation,False,9,0,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.203562736511231
Label Propagation,False,9,1,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,6.658507585525513
Label Propagation,False,9,2,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.1730709075927725
Label Propagation,False,9,3,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.869405508041383
Label Propagation,False,9,4,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.000389099121094
Label Propagation,False,9,5,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.209801912307737
Label Propagation,False,9,6,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.263408660888673
Label Propagation,False,9,7,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.675311803817749
Label Propagation,False,9,8,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,8.118671417236326
Label Propagation,False,9,9,0.152,0.262,0.152,0.152,0.152,1.03,0.009,0.038,0.151,0.037,0.077,0.038,7.550228357315063
Label Propagation,False,11,0,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,9.431485891342165
Label Propagation,False,11,1,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,6.740906000137329
Label Propagation,False,11,2,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.297835826873777
Label Propagation,False,11,3,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,6.665469169616699
Label Propagation,False,11,4,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.833783864974976
Label Propagation,False,11,5,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.75061297416687
Label Propagation,False,11,6,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,6.51827335357666
Label Propagation,False,11,7,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.265758991241455
Label Propagation,False,11,8,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.607032537460327
Label Propagation,False,11,9,0.141,0.271,0.141,0.141,0.141,1.092,0.016,0.043,0.159,0.041,0.085,0.042,7.981452941894531
Label Propagation,False,13,0,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.777336359024048
Label Propagation,False,13,1,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.386189699172974
Label Propagation,False,13,2,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.611042022705077
Label Propagation,False,13,3,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.3696348667144775
Label Propagation,False,13,4,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,6.586094617843628
Label Propagation,False,13,5,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.15866756439209
Label Propagation,False,13,6,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,7.884090900421143
Label Propagation,False,13,7,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,8.729030609130861
Label Propagation,False,13,8,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,6.751733303070068
Label Propagation,False,13,9,0.135,0.261,0.135,0.135,0.135,0.786,0.008,0.031,0.163,0.027,0.057,0.029,6.262275457382202
Label Propagation,False,15,0,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,9.283994913101195
Label Propagation,False,15,1,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,7.220500946044923
Label Propagation,False,15,2,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,7.96113920211792
Label Propagation,False,15,3,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,8.488463163375853
Label Propagation,False,15,4,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,7.761082410812378
Label Propagation,False,15,5,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,6.7267005443573
Label Propagation,False,15,6,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,7.136481285095215
Label Propagation,False,15,7,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,9.292946577072145
Label Propagation,False,15,8,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,7.296816110610963
Label Propagation,False,15,9,0.11,0.283,0.11,0.11,0.11,0.79,0.032,0.048,0.201,0.04,0.083,0.043,6.32896614074707
Label Propagation,False,17,0,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,9.671172857284548
Label Propagation,False,17,1,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,6.876837968826294
Label Propagation,False,17,2,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,6.860116243362428
Label Propagation,False,17,3,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,6.8653621673583975
Label Propagation,False,17,4,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,6.58940315246582
Label Propagation,False,17,5,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,7.254981994628906
Label Propagation,False,17,6,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,6.166116952896117
Label Propagation,False,17,7,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,7.306686639785767
Label Propagation,False,17,8,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,7.840634346008301
Label Propagation,False,17,9,0.12,0.268,0.12,0.12,0.12,0.754,0.013,0.037,0.162,0.033,0.069,0.035,8.348527908325195
Label Propagation,False,19,0,0.145,0.249,0.145,0.145,0.145,0.978,0.014,0.048,0.212,0.037,0.078,0.042,8.193485975265503
Label Propagation,False,19,1,0.145,0.249,0.145,0.145,0.145,0.978,0.014,0.048,0.212,0.037,0.078,0.042,9.898595094680788
