Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,21,9,0.19,0.195,0.19,0.19,0.19,2.795,0.02,0.552,0.267,0.13,0.333,0.21,253.73663759231567
Label Propagation,False,23,0,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,159.33806800842285
Label Propagation,False,23,1,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,162.2384831905365
Label Propagation,False,23,2,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,162.5708529949188
Label Propagation,False,23,3,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,165.7305679321289
Label Propagation,False,23,4,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,165.2368927001953
Label Propagation,False,23,5,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,160.5798256397247
Label Propagation,False,23,6,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,166.22345352172854
Label Propagation,False,23,7,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,177.42389392852783
Label Propagation,False,23,8,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,171.28040599822995
Label Propagation,False,23,9,0.162,0.205,0.162,0.162,0.162,1.814,0.024,0.293,0.231,0.12,0.308,0.17,164.40812516212463
Label Propagation,False,25,0,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,167.5888710021973
Label Propagation,False,25,1,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,174.12440419197083
Label Propagation,False,25,2,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,178.42929482460022
Label Propagation,False,25,3,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,188.42391157150269
Label Propagation,False,25,4,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,183.376558303833
Label Propagation,False,25,5,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,187.8625378608704
Label Propagation,False,25,6,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,182.23722577095032
Label Propagation,False,25,7,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,174.73522853851318
Label Propagation,False,25,8,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,171.92722535133362
Label Propagation,False,25,9,0.188,0.211,0.188,0.188,0.188,1.891,0.028,0.317,0.235,0.131,0.337,0.186,182.0400147438049
Asynchronous Label Propagation,False,19,0,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,172.16570258140564
Asynchronous Label Propagation,False,19,1,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,167.11035466194153
Asynchronous Label Propagation,False,19,2,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,166.84532475471497
Asynchronous Label Propagation,False,19,3,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,166.2080390453339
Asynchronous Label Propagation,False,19,4,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,163.47953748703003
Asynchronous Label Propagation,False,19,5,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,166.73646068572995
Asynchronous Label Propagation,False,19,6,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,166.27140736579898
Asynchronous Label Propagation,False,19,7,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,165.73986506462097
Asynchronous Label Propagation,False,19,8,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,164.94353890419006
Asynchronous Label Propagation,False,19,9,0.199,0.207,0.199,0.199,0.199,1.692,0.032,0.276,0.23,0.12,0.309,0.168,164.41031455993652
Asynchronous Label Propagation,False,21,0,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,279.80212616920466
Asynchronous Label Propagation,False,21,1,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,270.7358672618866
Asynchronous Label Propagation,False,21,2,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,262.13656306266785
Asynchronous Label Propagation,False,21,3,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,263.1100573539734
Asynchronous Label Propagation,False,21,4,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,261.4701590538025
Asynchronous Label Propagation,False,21,5,0.191,0.196,0.191,0.191,0.191,2.703,0.02,0.552,0.267,0.131,0.337,0.212,259.44018602371216
