Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,9,0,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.88397
Label Propagation,False,9,1,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,7.03961
Label Propagation,False,9,2,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.88155
Label Propagation,False,9,3,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.88031
Label Propagation,False,9,4,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,7.11234
Label Propagation,False,9,5,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.85809
Label Propagation,False,9,6,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.90586
Label Propagation,False,9,7,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.86517
Label Propagation,False,9,8,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.86797
Label Propagation,False,9,9,0.18095,0.30095,0.18095,0.18095,0.18095,1.85444,0.06634,0.32999,0.29302,0.16544,0.36732,0.22039,6.86552
Label Propagation,False,11,0,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.08016
Label Propagation,False,11,1,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.06997
Label Propagation,False,11,2,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.27258
Label Propagation,False,11,3,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.0847
Label Propagation,False,11,4,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.10577
Label Propagation,False,11,5,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.07618
Label Propagation,False,11,6,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.1426
Label Propagation,False,11,7,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.12022
Label Propagation,False,11,8,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.14942
Label Propagation,False,11,9,0.13714,0.22286,0.13714,0.13714,0.13714,2.10373,0.02887,0.30447,0.31157,0.08817,0.19575,0.13674,7.12169
Label Propagation,False,13,0,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.0928
Label Propagation,False,13,1,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.12474
Label Propagation,False,13,2,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.0994
Label Propagation,False,13,3,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.16012
Label Propagation,False,13,4,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.12899
Label Propagation,False,13,5,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.16424
Label Propagation,False,13,6,0.12857,0.19429,0.12857,0.12857,0.12857,1.94829,0.03266,0.2483,0.29732,0.06671,0.14812,0.10517,7.11979
